Altitude,Velocity,Yaw,Pitch,Roll,Wind_Speed,Temperature,Obstacle_Distance,Task_Type,Task_Completion_Time,Task_Success,Movement Pattern,Weather,Performance Target,Fatal_Errors
350.6370044372841,44.10189684983882,198.1914050146412,-35.44075551703894,0.5087421184815639,12.18935526733244,5.965844001068701,62.377219065085285,Tracking,577.8638268527947,1.0,Linear,Windy,Low Performance,8
470.5530426920347,47.51860925735577,146.65158871661964,24.828952902272377,-16.0258896810311,16.411528786676996,2.6101201079665444,18.90172827464972,Tracking,404.9191983961885,0.0,Linear,Foggy,High Performance,2
107.6464377719056,13.404139444791417,187.6957277305468,27.716159529811705,20.7197985413236,5.704886846135331,37.79593999810221,46.943486215404384,Object Detection,517.4053361900997,1.0,Linear,Clear,Low Performance,14
290.73738732712684,25.423903700533334,322.76687704884364,24.098815594290382,13.62976858440831,4.784221760684375,36.16497541349647,72.032291647856,Tracking,351.6354862534528,1.0,Linear,Foggy,Low Performance,13
375.08881697222427,12.841395561760084,70.66594883198414,-34.7430701592683,28.845670463331096,15.739515987624015,12.865830494641015,52.94357405412765,Surveillance,283.7094976985366,0.0,Random,Clear,High Performance,7
389.0827830792914,18.431724062001145,8.123224213925004,12.951716136098824,-20.658444134644025,1.1276370770646316,32.30969330771867,39.54890761835702,Recon,587.6787695612978,1.0,Linear,Rainy,High Performance,2
377.0129726148432,19.17463108150689,310.1993584916763,30.08923161744588,-16.460125016876695,7.387652951651702,12.6161738817148,32.233845808094365,Object Detection,374.3455402427115,1.0,Circular,Clear,Low Performance,9
153.77405176324874,28.764288441903147,207.76214965964635,6.961806109770095,-17.29211100710984,10.116184451846594,11.21945090362552,61.03938666440536,Surveillance,528.1117347115567,1.0,Circular,Rainy,Moderate Performance,9
219.75823534867249,20.742486698145704,320.63704396626326,13.176663770528007,17.552386057280202,11.206973487006469,-2.1618526200352672,93.91086983102406,Tracking,574.7778940377966,1.0,Linear,Foggy,Low Performance,11
243.4862101668054,14.039124272710444,214.9002804287421,-3.747286851632445,-18.78556221299291,14.572303135855538,11.320302824598642,67.17448404774834,Tracking,424.691498584676,1.0,Linear,Rainy,Low Performance,11
421.774883071802,16.699643563764308,291.6579923854929,2.583658789564737,-26.00041021060164,7.096914468613164,16.87084692999035,7.474590363631551,Recon,356.42688640008447,0.0,Circular,Foggy,Low Performance,10
211.5039489658212,15.891022542083636,154.68241080785327,-41.90608274834473,29.91364839513772,12.253686893492144,-8.874783628565677,46.06849734821338,Surveillance,61.89585949175134,1.0,Circular,Windy,Low Performance,15
184.2819855468813,48.923071916491935,269.94957526377675,12.506671977595616,-28.51096731329105,11.707508455819127,12.20565025877032,89.08241315106275,Object Detection,81.61060599906324,1.0,Random,Windy,High Performance,2
482.97920761523847,40.37170027673895,328.6949280803482,-37.66975083979568,20.11464360953194,10.952322013074944,29.067810919760014,9.446242580108688,Surveillance,168.4596566676028,0.0,Circular,Windy,Low Performance,13
103.54531404538756,48.71045861078248,205.96426693999427,-5.848686509379895,-8.077989506960833,12.809665862844245,24.00230281871349,98.88757121375431,Tracking,160.44455320223744,1.0,Circular,Rainy,Moderate Performance,9
499.12834227279126,27.589619460316342,65.08265420245664,-18.66104120993329,20.49692758546892,5.188983421361526,21.75784944319675,94.90693936454213,Object Detection,197.56974940791648,0.0,Linear,Windy,High Performance,5
370.7285195429582,21.134739266506266,96.76714141087136,4.088515519054177,3.277229472668701,1.6929750716925795,35.477771421860126,7.827448072987586,Tracking,224.66470435673685,0.0,Circular,Clear,Moderate Performance,8
431.3877197796468,41.93172788836747,71.51204768306609,-32.99252980291136,24.097873769181604,2.3854334407948685,-9.0983995087385,93.3413320449555,Tracking,254.43536651739325,1.0,Random,Foggy,Moderate Performance,6
217.84775853847725,23.05015672164587,88.86852993446385,17.247906177598637,25.5715791848776,4.491647653078021,17.852379309611706,36.31325902594622,Surveillance,287.0903526371933,1.0,Circular,Foggy,Moderate Performance,7
